Thema,Bild,Nummer,Titel,Format,Technik,Jahr,Standort,Preis
UNY,,UNY_060,5925 Broadway,,Frottage,2001,Luzie,
UNY,,UNY_061,Thompson/Watts Street Soho II,,Frottage,2000,Luzie,
UNY,,UNY_062,808 Broadway (church),74 x 74 cm,Frottage,2000,Luzie,
UNY,,UNY_063,Hamilton/Madison/Commun. Center,72 x 72 cm,Frottage,2000,Luzie,
UNY,,UNY_064,BC Green,74 x 74 cm,Frottage,2000,Luzie,
UNY,,UNY_065,Broadway/Bleecker,74 x 74 cm,Frottage,2001,Luzie,
UNY,,UNY_066,Wayverlyplace Ave of the Americas,98 x 98 cm,Frottage,2000,Luzie,
UNY,,UNY_067,Broadway/Union Square,74 x 74 cm,Frottage,2001,Luzie,
UNY,,UNY_068,Orange Street Brooklyn,59 x 59 cm,Frottage,2000,Luzie,
UNY,,UNY_069,Broadway/12 Street,115 x 155 cm,Frottage,2001,Luzie,
UNY,,UNY_070,Crosby Street,107 x 107 cm,Frottage,2000,Luzie,
WBW,,WBW_001,Lilien I (weiß) blühend,155 x 115 cm,Graphit/Öl/Bw.,2008,Luzie,1350
WBW,,WBW_002,Lilien II (grün) verwelkend,155 x 115 cm,Graphit/Öl/Bw.,2008,Luzie,1350
WBW,,WBW_003,Lilien III (rosa) verwelkt,155 x 115 cm,Graphit/Öl/Bw.,2008,Luzie,1350
WBW,,WBW_004,Lilien IV,60 x 45 cm,Öl/Lwd.,2011,missing,450
WBW,,WBW_005,Lilien V (blau),60 x 45 cm,Öl/Lwd.,2011,missing,450
WBW,,WBW_006,Lilien VI (gold),60 x 45 cm,Öl/Lwd.,2011,missing,450
WBW,,WBW_007,Sonnenblumenfeld,,,1997,Hilla & Wilhelm,
WBW,,WBW_008,Herbstliches Blätterschwirren,150 x 120 cm,Öl/Lwd.,2007,Borghees,1550
WBW,,WBW_009,Durch Hebstblätter zum Himmel hin,160 x 130 cm,Eit./Öl/Lwd.,2004/2005,"Van Echtelt Matthieu, Juditch. Grainauer Str. 11 10777 Berlin",
WBW,,WBW_010,Sonnenblumenfeld,130 x 160 cm,Öl/Acryl/Lwd.,2002/2007,missing,1550
WBW,,WBW_011,Durch Blättergrün zum Himmel hin (groß),200 x 150 cm,Mischt./Lwd.,2002,Luzie,1450
WBW,,WBW_012,Amaryllis (Hibyskus),160 x 130 cm,Öl/Lwd.,2002,Melanie als Leihgabe ,1550
WBW,,WBW_013,Blütenbaum (gelb),160 x 130 cm,Mischt./Lwd.,2001,Tina Abbing,1450
WBW,,WBW_014,Schlängelt ein Bach durch's herbstliche Laub,95 x 75 cm,Misch./Nessel,1991,,
WBW,,WBW_015,Sommer/Mohnbild,160 x 120 cm,Öl/Nessel,1997,Helga Fassbinder A'dam,
WBW,,WBW_016,"Drei Herbstbaumwipfel im Tiergarten, Berlin",100 x 120 cm,Öl/Lwd.,1997,Esther Hebben Lensing Hebben,1100
WBW,kein Bild,WBW_017,Durch Blättergrün zum Himmel hin (klein),120 x 100 cm,Mischt./Lwd.,1996,missing,1100
WBW,,WBW_018,Herbst vor der Stadt,100 x 120 cm,Öl/Lwd.,2015,Luzie,1100
WBW,,WBW_019,Baumbild Birke,125 x 95 cm,Mischt./Lwd.,1995,missing,1100
WBW,,WBW_020,Baumbild Gold,125 x 95 cm,Mischt./Lwd.,1995,missing,1100
WBW,,WBW_021,Grüner Baum,50 x 70 cm,Öl/Lwd.,2009,,
WBW,,WBW_022,Baumbild mit Rost,125 x 95 cm,Mischt./Lwd.,1995,missing,1100
WBW,,WBW_023,Baumbild mit Himmel,125 x 95 cm,Mischt./Lwd.,1995,Borghees,1250
WBW,,WBW_024,Apfelblüte im Mai,100 x 120 cm,Öl/Lwd.,1994,Luzie,nicht verkäuflich
WBW,,WBW_025,Kleines Gräserbild,40 x 60 cm,Öl/Lwd.,Ohne Jahr,,
WBW,,WBW_026,Mein Balkon,105 x 105 cm,Öl/Lwd.,2010,Felix Fassbinder,650
WBW,,WBW_027,Exotische Früchte I,40 x 40 cm,Öl/Lwd.,2003,Borghees,350
WBW,,WBW_028,Exotische Früchte II,40 x 40 cm,Öl/Lwd.,2003,Mechtild,350
WBW,,WBW_029,Exotische Früchte III,40 x 40 cm,Öl/Lwd.,2003,Mechtild,350
WBW,,WBW_030,Exotische Früchte IV,40 x 40 cm,Öl/Lwd.,2003,missing,350
WBW,,WBW_031,Exotische Früchte V,40 x 40 cm,Öl/Lwd.,2003,verkauft Herdmann,
WBW,,WBW_032,Exotische Früchte VI,40 x 40 cm,Öl/Lwd.,2003,,
WBW,,WBW_033,Exotische Früchte VII,40 x 40 cm,Öl/Lwd.,2003,Mechtild,350
WBW,,WBW_034,Fundstücke,70 x 65 cm,Öl/Papier/Holz (unter Glas),1983,Pelz-Leusden/Wohnung ??,
WBW,,WBW_035,Käthes Rhabarber in Berlin,45 x 65 cm,Gouache/Papier/Holz,1984,,
WBW,,WBW_036,Weiße Amaryllis,200 x 150 cm,Graphit/Öl/Lwd.,2003,Tanja Henningsen,1850
WBW,,WBW_037,Blätter gegen Himmel,120 x 100 cm,Öl/Lwd.,1996,,
WBW,,WBW_038,Gestrüpp,100 x 120 cm,Öl/Lwd.,1996,Ruth Lensing Varden ? ehemals Mutters Bild,
WBW,,WBW_039,Sonnenblumen,160 x 130 cm,Öl/Bw.,2014,Mechtild,1900
WBW,kein Bild,WBW_040,Großes Sonnenblumenbild,120 x 80 cm,Öl/Bw.,2000,Niklas Lensing,
WBW,kein Bild,WBW_041,Kleines Sonnenblumenbild,80 x 60 cm,Öl/Bw.,Ohne Jahr,Niklas Lensing,
WBW,kein Bild,WBW_042,Begegnungsversuche,70 x 100 cm,Öl/Papier,1985,,
WBW,,WBW_043,Blättergrün,120 x 100 cm,Misch./Lwd.,1996,,
WBW,,WBW_044,Mohnblume Sommerbild,130 x 95 cm,Öl/Nessel,1988,Privatbesitzer München,
WBW,,WBW_045,Durchbruch I,70 x 80 cm,Eit./Öl/Bw.,2016,missing,550
WBW,,WBW_046,Durchbruch II,80 x 70 cm,Öl/Bw.,2016,Felix,550
WBW,,WBW_047,Helmholzstraßenblumen,25 x 40 cm,Öl/Lwd.,2016,missing,
WBW,,WBW_048,Kohlkopf,40 x 40 cm,Öl/Lwd.,Ohne Jahr,missing,
WBW,,WBW_049,Herbstblätter zum Himmel hin,160 x 130 cm,,2006/2007,missing,
WBW,,WBW_050,Sonnenblumen,80 x 60 cm,,2000,A.Gasthaus Christ,
WBW,,WBW_051,Oleander,42 x 30 cm,Tempera/Öl/Papier,1983,missing,
WBW,,WBW_052,Meine Kastanien,43 x 58 cm,Litho auf Papier,1963,missing,
WBW,,WBW_053,Stilleben mit Wirsing,70 x 55 cm,Öl/Holz,2003,missing,
WBW,,WBW_054,Verwachsene Landschaft,60 x 80 cm,Öl/Lwd.,1991,Ruth,
WBW,,WBW_055,Alles ist im Wandel,42 x 64 cm,Mischt./Lwd.,2000,Borghees,800
WDV,,WDV_001,Wider das Vergessen  Jüdischer Friedhof Weißensee 1,85 x 70 cm,Graphit/Nessel,1995-2005,Luzie,400
WDV,,WDV_002,Wider das Vergessen  Jüdischer Friedhof Weißensee 2,85 x 70 cm,Graphit/Nessel,1995-2005,Luzie,400
WDV,,WDV_003,Wider das Vergessen  Jüdischer Friedhof Weißensee 3,85 x 70 cm,Graphit/Nessel,1995-2005,Luzie,400
WDV,,WDV_004,Wider das Vergessen  Jüdischer Friedhof Weißensee 4,85 x 70 cm,Graphit/Nessel,1995-2005,Luzie,400
WDV,,WDV_005,Wider das Vergessen  Jüdischer Friedhof Weißensee 5,85 x 70 cm,Graphit/Nessel,1995-2005,Luzie,400
WDV,,WDV_006,Wider das Vergessen  Jüdischer Friedhof Weißensee 6,85 x 70 cm,Graphit/Nessel,1995-2005,Luzie,400
WDV,,WDV_007,Wider das Vergessen  Jüdischer Friedhof Weißensee 7,85 x 70 cm,Graphit/Nessel,1995-2005,Luzie,400
WDV,,WDV_008,Wider das Vergessen  Jüdischer Friedhof Weißensee 8,85 x 70 cm,Graphit/Nessel,1995-2005,Luzie,400
WDV,,WDV_009,Wider das Vergessen  Jüdischer Friedhof Weißensee 9 (Tucholskys Mutter),85 x 70 cm,Graphit/Nessel,1995-2005,missing,
WDV,,WDV_010,Wider das Vergessen  Liesenstraße  Christliche Friedhöfe 1,85 x 70 cm,Graphit/Nessel,1990,Luzie,400
WDV,,WDV_011,Wider das Vergessen  Liesenstraße  Christliche Friedhöfe 2,85 x 70 cm,Graphit/Nessel,1990,Luzie,400
WDV,,WDV_012,Wider das Vergessen  Liesenstraße  Christliche Friedhöfe 3,85 x 70 cm,Graphit/Nessel,1990,Luzie,400
WDV,,WDV_013,Wider das Vergessen  Liesenstraße  Christliche Friedhöfe 4,85 x 70 cm,Graphit/Nessel,1990,Luzie,400
WNN,,WNN_000,Warum gibt es etwas und nicht nichts?,180 x 135 cm,Öl/Lwd.,2017,Luzie,1350
WNN,,WNN_001,Universum I,80 x 100 cm,Öl/Lwd.,2015/2016,Luzie,750
WNN,,WNN_002,Universum II,115 x 150 cm,Öl/Bw.,2016,Niklas Lensing,950
WNN,,WNN_003,Universum III,85 x 85 cm,Öl/Lwd.,2016,Luzie,500
WNN,,WNN_004,Universum IV,100 x 120 cm,Öl/Lwd.,2017,Luzie,750
WNN,,WNN_005,Universum V,100 x 120 cm,Öl/Lwd.,2017,Luzie,750
WNN,,WNN_006,Universum VI,85 x 85 cm,Öl/Lwd.,2016,,
WNN,,WNN_007,Universum VII,85 x 85 cm,Öl/Lwd.,2016,,
WNN,,WNN_008,Universum VIII,100 x 120 cm,Öl/Lwd.,2017,Luzie,750
WNN,,WNN_009,Universum/Hubbel,130 x 160 cm,Öl/Lwd.,2018,Luzie,1100
WNN,,WNN_010,Meteorit,100 x 120 cm,Öl/Lwd.,2017,Luzie,950
WNN,,WNN_011,Sternenschleier,100 x 120 cm,Öl/Lwd.,2018,Luzie,850
WNN,,WNN_012,Sternennebel,100 x 120 cm,Öl/Lwd.,2017,Luzie,850
WNN,,WNN_013,Universum IX,130 x 180 cm,Öl/Lwd.,2017,Luzie,1100
WNN,,WNN_014,Universum X,140 x 120 cm,Öl/Lwd.,2017,Luzie,1000
WWW,,WWW_001,"Wasser, Wellen, Wind I",100 x 120 cm,Öl/Lwd.,2002,Luzie,1000
WWW,,WWW_002,"Wasser, Wellen, Wind II",100 x 120 cm,Öl/Lwd.,2002,Luzie,1000
WWW,,WWW_003,"Wasser, Wellen, Wind III",100 x 120 cm,Öl/Lwd.,2002,verkauft,
WWW,,WWW_004,"Wasser, Wellen, Wind IV",100 x 120 cm,Öl/Eit./Lwd.,2002,Luzie,1000
WWW,kein Bild,WWW_005,"Wasser, Wellen, Wind V",100 x 120 cm,Öl/Lwd.,2002,verkauft,
WWW,,WWW_006,Wasser – Wellen – Wind VI,80 x 100 cm,Öl/Lwd.,2006,Luzie,850
WWW,,WWW_007,Wasser – Wellen – Wind VII,92 x 105 cm,Öl/Lwd.,2011,Agnes Widera,650
WWW,,WWW_008,Wasser-Wellen-Wind VIII,100 x 120 cm,Öl/Lwd,2011,,
WWW,,WWW_009,Am Ufer,135 x 100 cm,Öl/Lwd,2018,Luzie,950
WWW,schlechte Quali,WWW_010,Im giftgrünen Wasser,180 x 70 cm,Öl/Lwd.,2003,Luzie,950
WWW,,WWW_011,Weichende Wasser,160 x 120 cm,Öl/Lwd.,1997,Emmerich,
WWW,,WWW_012,Frosches Freude,175 x 75 cm,Mischt./Lwd.,2004,Borghees,950
WWW,,WWW_013,Meerestief,180 x 70 cm,Öl/Lwd,2001,Diana,950
WWW,,WWW_014,Gischt,180 x 70 cm,Eit./Öl/Lwd.,2001,"Bernhrd Lensing, Borken",
WWW,,WWW_015,Meeresgrund,180 x 70 cm,Öl/Lwd.,2001,Diana,950
WWW,,WWW_016,Versunken im Meerestief,180 x 70 cm,Eit./Öl/Lwd.,2001,Diana,950
WWW,,WWW_017,Feuersbrunst am Meeresgrund (Feuerbann - Lunge),180 x 70 cm,Öl/Lwd.,2006,Luzie,950
WWW,,WWW_018,Lichtbahn (am Meeresgrund) - Lichteinfall,180 x 70 cm,Öl/Lwd.,2005/2006,Mechtild,950
WWW,kein Bild,WWW_019,Tümpelwasser,80 x 60 cm,Öl/Eit./Lwd.,2006,missing,
WWW,,WWW_020,Sanft umspielt,200 x 150 cm,Öl/Eit./Lwd.,2007,Luzie,1450
WWW,,WWW_021,Große Woge I,200 x 150 cm,Eit./Öl/Lwd.,2007,Luzie,1450
WWW,,WWW_022,Große Woge II / Stürmische Woge,130 x 160 cm,Öl/Lwd.,2006,,
WWW,,WWW_023,Spreewasser,130 x 160 cm,Eit./Öl/Lwd.,2006/2008,Baumann gisela und wilhelm Vriendshof griether busch bei Rees,
WWW,,WWW_024,Großer Schwimmer,120 x 80 cm,Öl/Lwd.,2010,Felix,1500
WWW,,WWW_025,Kleiner Schwimmer,69 x 54 cm,Öl/Holz,2010,Anne Spee,400
WWW,,WWW_026,Insel im Pazifik (Japan),120 x 80 cm,Öl/Lwd.,2011,Clara Lensing,800
WWW,,WWW_027,Mini Wasserstrudel,30 x 40 cm,Öl/Lwd.,2011,"Tatjana Becker, Paris",
WWW,,WWW_028,Wellenlandschaft,30 x 40 cm oder 100 x 200,Öl/Lwd.,2011,missing,
WWW,,WWW_029,Wogende Wellen,130 x 180 cm,Öl/Bw.,2011,missing,1350
WWW,,WWW_030,no name,,,,verkauft,
ZUB,,ZUB_001,Licht fällt durch den Regenwald,215 x 145 cm,Mischt./Lwd.,1988/1989,verkauft,
ZUB,,ZUB_002,Zauber und Bann,215 x 145 cm,Mischt./Lwd.,1988 - 1998,Luzie,1650
ZUB,,ZUB_003,Gebrannte Erde,215 x 145 cm,Mischt./Lwd.,1989/1989,Luzie,1650
ZUB,,ZUB_004, Gottesanbeterin,200 x 150 cm,Eit./Öl/Lwd.,2002,Felix,1650
ZUB,,ZUB_005,Geheime Quelle,80 x 80 cm,Öl/Bw.,2002,,
ZUB,,ZUB_006,Zerfliessende (Schwimmende) Kontinente,200 x 150 cm,Eit./Öl./Lwd.,2002,Luzie,1650
ZUB,,ZUB_007,Herbstwind Diptychon,150 x 240 cm,Öl/Lwd.,1986,Borghees,2250
ZUB,,ZUB_008,Vor dem Sturm,100 x 120 cm,Mischt./Lwd.,2002,Borghees,950
ZUB,,ZUB_009,Glutbaum,160 x 130 cm,Mischt./Lwd.,2003,Borghees,1550
ZUB,,ZUB_010,Turbulenzen am nächtlichen Himmel,130 x 160 cm,Eit./Öl/Lwd.,2005,Luzie,1550
ZUB,,ZUB_011,Blätterschwirren,160 x 130 cm,Eit./Öl/Lwd.,2003,missing,1550
ZUB,,ZUB_012,Wüstenquelle,100 x 120 cm,Mischt./Lwd.,2000,Gisela Baumann,900
ZUB,,ZUB_013,Karst (Küste Kroatien),130 x 160 cm,Mischt./Lwd.,2000,Luzie,1550
